SHARECLASS_ID,SHARECLASS_NAME,FUND_NAME,CATEGORY,SHARPE_RATIO_1Y,SHARPE_RATIO_3Y,SHARPE_RATIO_5Y,BETA_1Y,BETA_3Y,BETA_5Y,INFO_RATIO_3Y,INFO_RATIO_5Y
F00000UJFH                    ,ACTIAM Responsible Index Fund Equity - North America - A,ACTIAM Responsible Index Fund Equity - North America - A,Equity,1.58,1.06,1.51,1.99,0.9,0.79,0.25,0.17378
F00000UJFI                    ,ACTIAM Responsible Index Fund Equity - North America - B,ACTIAM Responsible Index Fund Equity - North America - B,Equity,1.58,1.06,1.52,1.98,0.89,0.79,0.25,0.17292
F00000UJFF                    ,ACTIAM Responsible Index Fund Equity - Pacific,ACTIAM Responsible Index Fund Equity - Pacific,Equity,1.69,0.79,0.99,0.18,0.74,0.72,0.17,0.25997
F00000IRZ9                    ,AEGON Duurzaam Index Aandelen Fonds,AEGON Duurzaam Index Aandelen Fonds,Equity,2.96,0.95,1.29,0.99,0.9,0.78,0.38,0.22455
F00000IRZ5                    ,AEGON Europa Index Aandelen Fonds,AEGON Europa Index Aandelen Fonds,Equity,2.47,0.7,0.97,1.01,1,1,1.58,1.1371
F000005PCP                    ,Aegon International Emerging Markets Equity Tracker A,AEGON International Emerging Markets Equity Tracker Fund,Equity,0.86,0.64,0.51,1.16,0.84,0.87,0.41,0.2837
F000005PCQ                    ,Aegon International Emerging Markets Equity Tracker B,AEGON International Emerging Markets Equity Tracker Fund,Equity,0.91,0.67,0.54,1.14,0.81,0.85,0.44,0.32374
F000005OVB                    ,Aegon International UK Index Tracker A,AEGON International UK Index Tracker,Equity,1.8,0.87,0.89,0.81,0.97,0.98,-0.35,-0.49777
F000005OVW                    ,Aegon International UK Index Tracker B,AEGON International UK Index Tracker,Equity,1.85,0.91,0.94,0.81,0.98,0.98,-0.14,-0.22991
F00000IRZ7                    ,AEGON Wereld Index Aandelen Fonds,AEGON Wereld Index Aandelen Fonds,Equity,2.31,0.97,1.34,1.03,0.81,0.69,0.32,0.20737
F00000MM7Z                    ,AGFiQ U.S. Market Neutral Anti-Beta Fund,AGFiQ U.S. Market Neutral Anti-Beta Fund,Equity,-0.92,-0.02,-0.32,39.28,-9.78,-1.33,0,-0.29611
F00000MM83                    ,AGFiQ U.S. Market Neutral Momentum Fund,AGFiQ U.S. Market Neutral Momentum Fund,Equity,0.28,0.03,-0.07,80.71,6.05,6.75,0.05,-0.04341
F00000MBNY                    ,AGFiQ U.S. Market Neutral Size Fund,AGFiQ U.S. Market Neutral Size Fund,Equity,-0.76,-1.08,-0.67,-33.97,1.35,-3.89,-1.05,-0.62821
F00000MM82                    ,AGFiQ U.S. Market Neutral Value Fund,AGFiQ U.S. Market Neutral Value Fund,Equity,-0.12,-0.32,0.08,-43.81,2.61,-3.32,-0.29,0.11204
F0AUS069U6                    ,AIF Investments' New Zealand Property Fund,AIF Investments' New Zealand Property Fund,Equity,1.43,1.08,1.47,<null>,<null>,<null>,<null>,<null>
F000002T7I                    ,AKB Institutional Funds - AKB Aktien Schweiz Top Selection Q,AKB Institutional Funds - AKB Aktien Schweiz Top Selection,Equity,3.97,0.54,1,1.02,<null>,<null>,<null>,<null>
F00000MZJX                    ,ALOCC AES FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM AES,ALOCC AES FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM AES,Equity,1.39,1.08,0.93,0.7,<null>,<null>,<null>,<null>
F00000MZJZ                    ,ALOCC RESERVA FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO DI,ALOCC RESERVA FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO DI,Equity,15.68,20.6,12.91,0.88,<null>,<null>,<null>,<null>
F000000RDF                    ,ALPHA ETF FTSE Athex Large Cap Equity UCITS,ALPHA ETF FTSE Athex Large Cap Equity UCITS,Equity,1.47,-0.17,-0.03,1.03,<null>,<null>,<null>,<null>
F000002N19                    ,ALPS Equal Sector Weight ETF,ALPS Equal Sector Weight ETF,Equity,4.45,0.9,1.39,0.94,0.93,0.95,-0.9,-0.94035
F00000OBQA                    ,ALPS Sector Dividend Dogs ETF,ALPS Sector Dividend Dogs ETF,Equity,1.74,0.75,1.29,0.95,0.98,0.96,0.16,0.19303
F000000ALB                    ,AMB Index-Linked Trust,AMB Index-Linked Trust,Equity,0.87,-0.1,0.31,0.85,<null>,<null>,<null>,<null>
FOUSA00JEV                    ,AMIDEX35 Israel Fund Class A,AMIDEX35 Israel Fund,Equity,1.39,-0.16,0.28,0.08,0.68,0.64,-0.88,-0.48261
FOUSA00G2F                    ,AMIDEX35 Israel Fund Class C,AMIDEX35 Israel Fund,Equity,1.25,-0.22,0.21,0.08,0.69,0.65,-0.98,-0.56964
FOUSA00K5J                    ,AMIDEX35 Israel Mutual Fund,AMIDEX35 Israel Fund,Equity,1.37,-0.15,0.28,0.09,0.68,0.65,-0.88,-0.48173
F000000M8C                    ,AMOne Core 30 Index,AMOne Core 30 Index,Equity,2.59,0.47,0.99,1.12,0.97,0.98,-0.93,-0.77603
F00000OXTA                    ,AMOne Cruise Control,AMOne Cruise Control,Equity,2.89,0.3,0.9,-0.38,0.2,0.23,-0.53,-0.18567
F000000LZA                    ,AMOne DIAM Balance Fund DC 1 Stable,AMOne DIAM Balance Fund DC 1 Stable,Equity,3.48,1.08,1.69,-0.26,0.25,0.32,0.25,-0.42449
F000000LZ7                    ,AMOne DIAM Balance Fund DC 2 Stable/Growth,AMOne DIAM Balance Fund DC 2 Stable/Growth,Equity,3.58,0.84,1.46,-0.64,0.48,0.55,0.34,-0.16823
F000000LZ6                    ,AMOne DIAM Balance Fund DC 3 Growth,AMOne DIAM Balance Fund DC 3 Growth,Equity,3.52,0.75,1.36,-1.05,0.75,0.81,0.37,0.22114
F00000OQR6                    ,AMOne DIAM DC 8 Asset Balance Fund (Emerging 10),AMOne DIAM DC 8 Asset Balance Fund (Emerging 10),Equity,3.92,0.9,1.54,-0.32,0.34,0.38,0.1,-0.62595
F00000OQR7                    ,AMOne DIAM DC 8 Asset Balance Fund (Emerging 20),AMOne DIAM DC 8 Asset Balance Fund (Emerging 20),Equity,3.9,0.73,1.35,-0.64,0.56,0.59,0.19,-0.39194
F00000OQR8                    ,AMOne DIAM DC 8 Asset Balance Fund (Emerging 30),AMOne DIAM DC 8 Asset Balance Fund (Emerging 30),Equity,3.82,0.65,1.26,-0.29,0.87,0.88,0.06,-0.0871
F000000LZH                    ,AMOne DIAM DC Balance30 Index Fund,AMOne DIAM DC Balance30 Index Fund,Equity,3.44,0.89,1.56,-0.43,0.33,0.45,0.33,-0.17606
F000000LZD                    ,AMOne DIAM DC Balance50 Index Fund,AMOne DIAM DC Balance50 Index Fund,Equity,3.53,0.78,1.4,-0.83,0.59,0.67,0.43,0.12289
F000000LZ9                    ,AMOne DIAM DC Balance70 Index Fund,AMOne DIAM DC Balance70 Index Fund,Equity,3.51,0.71,1.31,-1.16,0.85,0.88,0.37,0.244
F000000MS5                    ,AMOne DIAM DC Domestic Equity Index Fund,AMOne DIAM DC Domestic Equity Index Fund,Equity,3.68,0.78,1.27,0.96,0.97,0.98,0.35,0.12154
F000000LZP                    ,AMOne DIAM Domestic Bond Index Fund DC,AMOne DIAM Domestic Bond Index Fund DC,Equity,-1.22,0.74,0.86,1.01,<null>,<null>,<null>,<null>
F000002JWO                    ,AMOne DIAM Domestic Bond Passive Fund,AMOne DIAM Domestic Bond Passive Fund,Equity,-1.42,0.61,0.72,1.01,<null>,<null>,<null>,<null>
F000000M05                    ,AMOne DIAM Domestic Equity Index Fund DC,AMOne DIAM Domestic Equity Index Fund DC,Equity,3.67,0.78,1.26,0.96,0.97,0.98,0.28,0.05578
F00000MF5D                    ,AMOne DIAM Emerging Equity Index Fund DC,AMOne DIAM Emerging Equity Index Fund DC,Equity,8.05,0.43,0.73,0.19,0.9,0.95,0.07,0.62637
F000000LZI                    ,AMOne DIAM Foreign Bond Index Fund DC,AMOne DIAM Foreign Bond Index Fund DC,Equity,1.86,0.18,0.95,0.88,0.9,0.92,0.08,-0.12981
F000002JWR                    ,AMOne DIAM Foreign Bond Passive Fund,AMOne DIAM Foreign Bond Passive Fund,Equity,1.81,0.14,0.92,0.88,0.9,0.91,-0.02,-0.22905
F000000MSM                    ,AMOne DIAM Foreign Equity Index Fund DC,AMOne DIAM Foreign Equity Index Fund DC,Equity,3.03,0.62,1.21,1.02,1.29,1.2,0.2,0.70194
F000002JWQ                    ,AMOne DIAM Foreign Equity Passive Fund,AMOne DIAM Foreign Equity Passive Fund,Equity,2.99,0.6,1.19,1.02,1.29,1.2,0.16,0.66651
F000002JWP                    ,AMOne DIAM Japan Equity Passive Fund,AMOne DIAM Japan Equity Passive Fund,Equity,3.61,0.75,1.24,0.96,0.97,0.98,-0.19,-0.40852
F000000LZO                    ,AMOne DIAM Passive Asset Diversified Fund,AMOne DIAM Passive Asset Diversified Fund,Equity,2.26,0.47,1.15,-1.3,0.67,0.75,-0.09,-0.24569
F000000MSE                    ,AMOne DIAM World REIT Index Fund Dividend 1 Month,AMOne DIAM World REIT Index Fund Dividend 1 Month,Equity,1.36,0.41,1.02,0.46,0.85,0.83,0.04,0.59335
F000000N94                    ,AMOne Domestic REIT Index Fund DC,AMOne Domestic REIT Index Fund DC,Equity,-0.91,0.16,0.74,0.98,0.99,1,1.73,2.78488
F000000N92                    ,AMOne Global Warming Prevention Related Equity Fund,AMOne Global Warming Prevention Related Equity Fund,Equity,4.32,0.61,1.22,1.01,1.33,1.3,0.16,0.76899
F000000N9K                    ,AMOne Global Warming Prevention Related Equity Fund Dividend 3 Month,AMOne Global Warming Prevention Related Equity Fund Dividend 3 Month,Equity,4.32,0.6,1.22,1.01,1.33,1.3,0.16,0.76622
F000000N9J                    ,AMOne Index Management Fund 225,AMOne Index Management Fund 225,Equity,2.66,0.75,1.23,1.2,1.04,1.05,-0.5,-0.22409
F000000NA6                    ,AMOne Index Management Fund 225 DC,AMOne Index Management Fund 225 DC,Equity,2.67,0.75,1.23,1.29,1.08,1.07,-0.01,0.05311
F000000M7I                    ,AMOne Index Million,AMOne Index Million,Equity,2.56,0.68,1.16,1.21,1.04,1.05,-0.54,-0.36705
F000000M8F                    ,AMOne Index Portfolio,AMOne Index Portfolio,Equity,2.55,0.69,1.14,1.29,1.08,1.07,-0.22,-0.30244
F00000OXT9                    ,AMOne Investment Sommelier,AMOne Investment Sommelier,Equity,1.63,0.62,0.96,0.14,0.27,0.25,-0.59,-0.57352
F000000NA1                    ,AMOne J-REIT Package,AMOne J-REIT Package,Equity,-0.96,0.15,0.73,0.98,0.99,0.98,1.37,1.97496
F00000GUWN                    ,AMOne Japan Bond Fund,AMOne Japan Bond Fund,Equity,-1.27,0.6,0.72,1,<null>,<null>,<null>,<null>
F000000M7J                    ,AMOne MHAM Equity Index Fund 225,AMOne MHAM Equity Index Fund 225,Equity,2.65,0.75,1.23,1.23,1.05,1.05,-0.21,-0.03681
F00000LJ9T                    ,AMOne MHAM Foreign Bond Index Fund,AMOne MHAM Foreign Bond Index Fund,Equity,1.75,0.09,0.86,0.89,0.9,0.91,-0.18,-0.43214
F0000022M7                    ,AMOne MHAM Foreign Bond Index Fund Wrap,AMOne MHAM Foreign Bond Index Fund Wrap,Equity,1.82,0.14,0.91,0.89,0.9,0.91,-0.03,-0.27678
F00000LJ9U                    ,AMOne MHAM Foreign Equity Index Fund,AMOne MHAM Foreign Equity Index Fund,Equity,2.96,0.58,1.16,1.02,1.29,1.2,0.13,0.62829
F0000022M8                    ,AMOne MHAM Foreign Equity Index Fund Fund Wrap,AMOne MHAM Foreign Equity Index Fund Fund Wrap,Equity,3,0.6,1.19,1.02,1.29,1.2,0.17,0.66816
F000000N7R                    ,AMOne MHAM J-REIT Index Fund DC,AMOne MHAM J-REIT Index Fund DC,Equity,-0.92,0.17,0.74,0.98,1,1,1.86,3.03226
F000000M75                    ,AMOne MHAM J-REIT Index Fund Dividend 1 Month,AMOne MHAM J-REIT Index Fund Dividend 1 Month,Equity,-0.92,0.16,0.74,0.99,1,1,1.71,2.90279
F00000LJ9S                    ,AMOne MHAM Japan Bond Index Fund,AMOne MHAM Japan Bond Index Fund,Equity,-1.36,0.62,0.73,1.02,<null>,<null>,<null>,<null>
F000001ZQS                    ,AMOne MHAM Japan Bond Index Fund Fund Wrap,AMOne MHAM Japan Bond Index Fund Fund Wrap,Equity,-1.17,0.74,0.86,1.02,<null>,<null>,<null>,<null>
F000001ZOM                    ,AMOne MHAM Japan Equity Index Fund Fund Wrap,AMOne MHAM Japan Equity Index Fund Fund Wrap,Equity,3.67,0.77,1.26,0.96,0.97,0.98,0.2,-0.04844
F000000N8M                    ,AMOne MHAM TOPIX Fund,AMOne MHAM TOPIX Fund,Equity,3.57,0.76,1.24,0.96,0.97,0.98,-0.12,-0.44864
F000000M7F                    ,AMOne MHAM TOPIX Open,AMOne MHAM TOPIX Open,Equity,3.61,0.75,1.23,0.96,0.97,0.98,-0.26,-0.53215
F000000MSA                    ,AMOne Monex Asset Plan Fund Dividend 2 Month,AMOne Monex Asset Plan Fund Dividend 2 Month,Equity,3.02,0.68,1.31,-0.98,0.69,0.73,0.21,-0.07212
F00000IRRZ                    ,AMOne Monex Asset Plan Fund Evolution,AMOne Monex Asset Plan Fund Evolution,Equity,4.95,0.54,1.08,-0.26,1.12,1.08,0.11,0.01014
F000000MRT                    ,AMOne Monex Asset Plan Fund Growth,AMOne Monex Asset Plan Fund Growth,Equity,3.02,0.68,1.31,-0.98,0.69,0.73,0.21,-0.07343
F000000N91                    ,AMOne New TOPIX Index,AMOne New TOPIX Index,Equity,3.6,0.75,1.23,0.96,0.97,0.98,-0.25,-0.54147
F000000MS1                    ,AMOne Nikkei 225 No Load Open,AMOne Nikkei 225 No Load Open,Equity,2.64,0.73,1.21,1.23,1.05,1.06,-0.28,-0.13135
F000000N96                    ,AMOne Shinko J-REIT Open,AMOne Shinko J-REIT Open,Equity,-0.92,0.16,0.74,0.99,0.99,0.98,1.66,2.20277
F000000N9V                    ,AMOne Shinko Japan Bond Index Fund DC,AMOne Shinko Japan Bond Index Fund DC,Equity,-1.3,0.68,0.8,1,<null>,<null>,<null>,<null>
F000000M7Y                    ,AMOne Taiyo Million Index Portfolio,AMOne Taiyo Million Index Portfolio,Equity,2.55,0.69,1.14,1.2,1.03,1.05,-0.8,-0.63315
F0AUS05EVC                    ,AMP - Generations - BlackRock Australian Equity Index,AMP - Generations - BlackRock Australian Equity Index,Equity,1.83,0.49,0.76,0.96,0.97,0.97,-3.61,-4.10213
F0AUS05EVD                    ,AMP - Generations - BlackRock Australian Fixed Interest Index,AMP - Generations - BlackRock Australian Fixed Interest Index,Equity,-0.22,0.75,0.94,0.97,0.99,1,-3.86,-4.84277
F0AUS05HT3                    ,AMP - Generations - BlackRock International Equity Index (Hedged),AMP - Generations - BlackRock International Equity Index (Hedged),Equity,5.37,0.94,1.45,1.02,<null>,<null>,<null>,<null>
F0AUS05EVE                    ,AMP - Generations - BlackRock International Equity Index (Unhedged),AMP - Generations - BlackRock International Equity Index (Unhedged),Equity,2.07,1.07,1.56,0.97,<null>,<null>,<null>,<null>
F0AUS05EVF                    ,AMP - Generations - BlackRock International Fixed Interest Index,AMP - Generations - BlackRock International Fixed Interest Index,Equity,-0.23,0.8,1.11,0.98,1.06,1.04,-1.06,-1.19431
F0AUS05EVH                    ,AMP - Generations - BlackRock Property Securities Index,AMP - Generations - BlackRock Property Securities Index,Equity,0.59,0.74,0.9,0.98,0.97,0.98,-4.75,-4.37557
F000005G6A                    ,AMP Flexible Lifetime &CustomSuper-Australian Fixed International Index,AMP Ausbil Australian Fixed Interest Index,Equity,-0.54,0.48,0.67,0.89,0.87,0.87,-5.3,-5.36788
F000005G3T                    ,AMP Flexible Lifetime Allocated Pension-Australian Fixed Interest Index,AMP Ausbil Australian Fixed Interest Index,Equity,-0.52,0.52,0.72,0.96,0.96,0.96,-11.37,-12.63426
F000005G3I                    ,AMP SignatureSuper Alloc Pen-Australian Fixed Interest Index,AMP Ausbil Australian Fixed Interest Index,Equity,-0.13,0.81,1.03,0.97,0.97,0.97,-8.59,-8.20845
F000005G5P                    ,AMP SignatureSuper-Ausbil Australian Fixed Interest Index,AMP Ausbil Australian Fixed Interest Index,Equity,-0.26,0.74,0.97,0.88,0.88,0.87,-3.93,-3.85095
F00000H4AT                    ,AMP Flexible Lifetime Investment Series 2-AMP Australian Share Enhanced Index,AMP Australian Share Enhanced Index AMPCI,Equity,1.78,0.47,0.77,0.98,0.99,0.99,-4.31,-4.85658
F0AUS05EHS                    ,AMP Flexible Lifetime Investment-AMP Australian Share Enhanced Index,AMP Australian Share Enhanced Index AMPCI,Equity,1.72,0.43,0.73,0.98,0.99,0.99,-5.6,-6.42251
F000002EVF                    ,AMP GIP Vanguard Australian Shares Index,AMP GIP Vanguard Australian Shares Index,Equity,1.83,0.48,0.75,0.96,0.97,0.97,-4.13,-4.67311
F000002EVH                    ,AMP GIP Vanguard International SharesIdx,AMP GIP Vanguard International SharesIdx,Equity,2.07,1.05,1.55,0.97,<null>,<null>,<null>,<null>
F000002EVG                    ,AMP GIP Vanguard Int Shares Index (Hgd),AMP GIP Vanguard Intnl Shares Idx (Hgd),Equity,5.39,0.93,1.45,1.01,<null>,<null>,<null>,<null>
F000005LOX                    ,AMP Generations - Balanced Index,AMP Generations - Balanced Index,Equity,2.42,0.86,1.35,0.84,0.96,0.96,-1.66,-1.8699
F000005LP4                    ,AMP Generations - Growth Index,AMP Generations - Growth Index,Equity,2.55,0.84,1.34,0.77,0.92,0.93,-1.53,-1.63806
F000005LOV                    ,AMP Generations - Moderately Defensv Idx,AMP Generations - Moderately Defensv Idx,Equity,2.45,0.94,1.44,0.72,0.92,0.93,-1.73,-1.86566
F000005G6K                    ,AMP Flexible Lifetime & CustomSuper-Global Bond Index,AMP Global Bond Index,Equity,-0.61,0.7,0.99,0.89,0.88,0.87,-5.09,-4.05313
F000005G5G                    ,AMP Flexible Lifetime Allocated Pension-Global Bond Index,AMP Global Bond Index,Equity,-0.51,0.7,0.97,0.99,0.97,0.97,-6.72,-4.42584
F000005G3J                    ,AMP SignatureSuper Alloc Pen-Global Bond Index,AMP Global Bond Index,Equity,-0.15,1.01,1.27,0.99,0.97,0.97,-4.13,-2.71658
F000005G5Q                    ,AMP SignatureSuper-Global Bond Index,AMP Global Bond Index,Equity,-0.32,0.96,1.26,0.89,0.89,0.88,-3.78,-2.88569
F0AUS05Y4X                    ,AMP Prem PSS ACI Global Shares Index,AMP Prem PSS ACI Global Shares Index,Equity,2.32,0.99,1.28,0,0.59,0.43,0.35,0.23261
F0AUS05Y4Y                    ,AMP Prem PSS ACI Global Shares Index Hdg,AMP Prem PSS ACI Global Shares Index Hdg,Equity,3.53,0.76,1.14,1.45,1.16,1.1,0.3,0.38739
F0AUS05Y4U                    ,AMP Prem PSS ACI NZ Shares Index,AMP Prem PSS ACI NZ Shares Index,Equity,3.97,1.5,1.73,0.97,0.98,0.99,0.82,0.84536
F0AUS05Y4R                    ,AMP Prem PSS SSgA Global Fixed Int Index,AMP Prem PSS SSgA Global Fixed Int Index,Equity,-0.18,1.11,1.41,1.04,1.13,1.04,-1.39,-1.28888
F0AUS05Y46                    ,AMP Prem PUT SSgA Global Fixed Int Index,AMP Prem PUT SSgA Global Fixed Int Index,Equity,-0.18,1.08,1.4,1.01,1.11,1.02,-1.78,-1.5229
F0AUS05Y4C                    ,AMP Prem PUT SSgA Global Shares Index,AMP Prem PUT SSgA Global Shares Index,Equity,2.42,1.12,1.47,-0.01,0.41,0.31,0.29,0.21895
F0AUS05Y4D                    ,AMP Prem PUT SSgA Global Shares IndexHdg,AMP Prem PUT SSgA Global Shares IndexHdg,Equity,3.88,1.02,1.56,1.12,0.86,0.86,0.37,0.68936
F00000H4G7                    ,AMP Flexible Lifetime & CustomSuper-Property Index,AMP Property Index,Equity,0.46,0.68,0.83,0.92,0.89,0.88,-2.21,-2.18292
F00000H4GJ                    ,AMP Flexible Lifetime Allocated Pension-Property Index,AMP Property Index,Equity,0.48,0.66,0.82,1,0.98,0.98,-5.1,-4.94155
F00000H4HU                    ,AMP SignatureSuper Alloc Pen-Property Index,AMP Property Index,Equity,0.55,0.72,0.89,1,0.98,0.98,-3.64,-3.1424
F00000H4I2                    ,AMP SignatureSuper-Property Index,AMP Property Index,Equity,0.53,0.73,0.9,0.92,0.89,0.88,-1.77,-1.70671
F0AUS05EKD                    ,AMP SignatureSuper Balanced Index,AMP Signature Super Balanced Index,Equity,2.32,0.99,1.56,0.79,0.84,0.83,-1.22,-1.55739
F0AUS05EHT                    ,AMP Flexible Lifetime & CustomSuper Australian Share Index,AMP Super Australian Share Index,Equity,1.89,0.55,0.83,0.9,0.86,0.87,-0.81,-1.14808
F0AUS05EHU                    ,AMP Flexible Lifetime - Allocated Pension Australian Share Index,AMP Super Australian Share Index,Equity,1.89,0.55,0.84,0.96,0.97,0.97,-1.18,-1.30952
F0AUS05HTT                    ,AMP Flexible Lifetime - Term Pension Australian Share Index,AMP Super Australian Share Index,Equity,1.89,0.55,0.84,0.96,0.97,0.97,-1.18,-1.30952
F0AUS071FY                    ,AMP SignatureSuper Alloc Pen Australian Share Index,AMP Super Australian Share Index,Equity,1.99,0.62,0.9,0.96,0.97,0.97,0.27,0.13708
F0AUS05EHR                    ,AMP SignatureSuper Australian Share Index,AMP Super Australian Share Index,Equity,1.99,0.61,0.89,0.89,0.86,0.87,-0.42,-0.72407
F00000H4FX                    ,AMP Flexible Lifetime & CustomSuper Cautious Index,AMP Super Cautious Index,Equity,1.41,0.8,1.36,0.88,1.01,0.96,-3.17,-2.74232
F00000H4G9                    ,AMP Flexible Lifetime - Allocated Pension Cautious Index,AMP Super Cautious Index,Equity,1.39,0.79,1.36,0.96,1.1,1.05,-2.42,-2.08037
F00000H4HI                    ,AMP SignatureSuper Alloc Pen Cautious Index,AMP Super Cautious Index,Equity,1.71,1,1.58,0.96,1.1,1.05,-1.38,-1.11693
F00000H4HY                    ,AMP SignatureSuper Cautious Index,AMP Super Cautious Index,Equity,1.66,0.98,1.57,0.88,1,0.96,-2.26,-1.8894
F0AUS05ZD1                    ,AMP Flexible Lifetime & CustomSuper Conservative Index,AMP Super Conservative Index,Equity,1.32,0.9,1.49,0.85,0.86,0.82,-3.63,-3.49915
F0AUS05ZB8                    ,AMP Flexible Lifetime - Allocated Pension Conservative Index,AMP Super Conservative Index,Equity,1.35,0.91,1.5,0.93,0.92,0.9,-4.36,-3.93449
F0AUS05ZBI                    ,AMP Flexible Lifetime - Term Pension Conservative Index,AMP Super Conservative Index,Equity,1.35,0.91,1.5,0.93,0.92,0.9,-4.36,-3.93449
F0AUS071FM                    ,AMP SignatureSuper Alloc Pen Conservative Index,AMP Super Conservative Index,Equity,1.74,1.16,1.77,0.92,0.93,0.9,-2.72,-2.47879
F0AUS05EKE                    ,AMP SignatureSuper Conservative Index,AMP Super Conservative Index,Equity,1.64,1.12,1.74,0.85,0.85,0.82,-2.65,-2.58894
F00000H4FY                    ,AMP Flexible Lifetime & CustomSuper Growth Index,AMP Super Growth Index,Equity,2.45,0.9,1.45,0.69,0.8,0.8,-1.36,-1.77221
F00000H4GA                    ,AMP Flexible Lifetime - Allocated Pension Growth Index,AMP Super Growth Index,Equity,2.35,0.89,1.43,0.74,0.85,0.86,-1.33,-1.67116
F00000H4HK                    ,AMP SignatureSuper Alloc Pen Growth Index,AMP Super Growth Index,Equity,2.5,0.99,1.53,0.74,0.86,0.86,-0.95,-1.23818
F00000H4I0                    ,AMP SignatureSuper Growth Index,AMP Super Growth Index,Equity,2.59,0.99,1.55,0.69,0.8,0.8,-1.07,-1.42874
F00000H4FZ                    ,AMP Flexible Lifetime & CustomSuper High Growth Index,AMP Super High Growth Index,Equity,2.43,0.9,1.49,0.79,0.89,0.9,-1.59,-1.5043
F00000H4GB                    ,AMP Flexible Lifetime - Allocated Pension High Growth Index,AMP Super High Growth Index,Equity,2.28,0.88,1.45,0.87,0.95,0.98,-1.49,-1.11132
F00000H4HL                    ,AMP SignatureSuper Alloc Pen High Growth Index,AMP Super High Growth Index,Equity,2.44,0.97,1.55,0.86,0.95,0.98,-0.88,-0.40532
F00000H4HV                    ,AMP SignatureSuper High Growth Index,AMP Super High Growth Index,Equity,2.54,0.98,1.58,0.8,0.89,0.9,-1.12,-0.98518
F0AUS05HRR                    ,AMP Flexible Lifetime & CustomSuper International Share Index,AMP Super International Share Index,Equity,1.99,1.03,1.52,0.94,<null>,<null>,<null>,<null>
F0AUS05HR2                    ,AMP Flexible Lifetime - Allocated Pension International Share Index,AMP Super International Share Index,Equity,2.03,1.02,1.53,0.97,<null>,<null>,<null>,<null>
F0AUS05HU3                    ,AMP Flexible Lifetime - Term Pension International Share Index,AMP Super International Share Index,Equity,2.03,1.02,1.53,0.97,<null>,<null>,<null>,<null>
F0AUS071G5                    ,AMP SignatureSuper Alloc Pen International Share Index,AMP Super International Share Index,Equity,2.09,1.1,1.59,0.99,<null>,<null>,<null>,<null>
F0AUS05EKF                    ,AMP SignatureSuper International Share Index,AMP Super International Share Index,Equity,2.07,1.09,1.58,0.94,<null>,<null>,<null>,<null>
F00000H4G0                    ,AMP Flexible Lifetime & CustomSuper Moderately Conservative Index,AMP Super Moderately Conservative Index,Equity,2.02,0.95,1.53,0.74,0.81,0.8,-1.81,-1.98897
