SHARECLASS_ID,SHARECLASS_NAME,FUND_NAME,SHARE_CLASS_COUNTER,FUND_FAMILY_NAME,MSTAR_CATEGORY_NAME,MSTAR_GLOB_CATEGORY_NAME,MSTAR_BROAD_CATEGORY,COMMON_SOURCE_SYSTEM,RETURN_NET_1M,RETURN_NET_2M,RETURN_NET_3M,RETURN_NET_6M,RETURN_NET_1Y,RETURN_NET_2Y,RETURN_NET_3Y,RETURN_NET_4Y,RETURN_NET_5Y
F00000MM83                    ,AGFiQ U.S. Market Neutral Momentum Fund,AGFiQ U.S. Market Neutral Momentum Fund,1,QuantShares         ,Market Neutral,Market Neutral,Alternative,FE_ALL,4.88,5.69,8.72,9.42,3,-4.61,0.36,-0.4,-0.6
F00000MBNY                    ,AGFiQ U.S. Market Neutral Size Fund,AGFiQ U.S. Market Neutral Size Fund,1,QuantShares         ,Market Neutral,Market Neutral,Alternative,FE_ALL,-1.22,0.14,-1.7,-5.8,-4.24,-5.11,-6.46,-5.75,-3.77
F00000MM82                    ,AGFiQ U.S. Market Neutral Value Fund,AGFiQ U.S. Market Neutral Value Fund,1,QuantShares         ,Market Neutral,Market Neutral,Alternative,FE_ALL,-2.27,0.21,-2.1,-2.86,-0.55,0.54,-2.5,-1.46,0.84
F0AUS069U6                    ,AIF Investments' New Zealand Property Fund,AIF Investments' New Zealand Property Fund,1,AMP Group           ,Equity Sector NZ - Real Estate,Real Estate Sector Equity,Equity,AUS-NZL,0.75,1.31,2.11,1.16,5.6,7.16,8.3,8.73,9.18
F000002T7I                    ,AKB Institutional Funds - AKB Aktien Schweiz Top Selection Q,AKB Institutional Funds - AKB Aktien Schweiz Top Selection,1,Swisscanto Fondsleit,Switzerland Large-Cap Equity,Other Europe Equity,Equity,EUROPE,1.32,3.96,2.85,6.09,23.75,5.88,5.28,6.49,10.37
F00000MZJX                    ,ALOCC AES FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM AES,ALOCC AES FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM AES,1,Alocc Gesto Financei,Brazil All Cap Equity,Brazil Equity,Equity,LATIN-AMERICA,0.14,4.45,9.47,11.86,16.16,20.96,13.93,11.08,10.89
F00000MZJZ                    ,ALOCC RESERVA FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO DI,ALOCC RESERVA FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO DI,1,Alocc Gesto Financei,BRL Money Market,Other Fixed Income,Fixed Income,LATIN-AMERICA,0.52,1.03,1.69,3.92,9.33,10.65,10.73,10.21,9.31
F000000RDF                    ,ALPHA ETF FTSE Athex Large Cap Equity UCITS,ALPHA ETF FTSE Athex Large Cap Equity UCITS,1,Alpha Asset Manageme,Greece Equity,Other Europe Equity,Equity,FE_ALL,0.49,-8.2,-5.94,5.45,28.05,-1.13,-11.22,-14.49,-6.06
F000002N19                    ,ALPS Equal Sector Weight ETF,ALPS Equal Sector Weight ETF,1,ALPS                ,Large Blend,US Equity Large Cap Blend,Equity,FE_ALL,1.75,3.81,3.8,7.41,19.79,12.27,8.92,10.6,13.55
F00000OBQA                    ,ALPS Sector Dividend Dogs ETF,ALPS Sector Dividend Dogs ETF,1,ALPS                ,Large Value,US Equity Large Cap Value,Equity,FE_ALL,0.24,4.52,3.41,5.33,13.8,13.57,8.84,10.9,14.47
F000000ALB                    ,AMB Index-Linked Trust,AMB Index-Linked Trust,1,Amanah Mutual Berhad,Equity - Malaysia Large-cap,Malaysia Equity,Equity,ASIA-PACIFIC,0.06,-0.44,0.73,0.66,5.46,3.63,-0.33,0.96,2.6
FOUSA00JEV                    ,AMIDEX35 Israel Fund Class A,AMIDEX35 Israel Fund,1,AMIDEX              ,Miscellaneous Region,Other Equity,Equity,FO_USA,-0.83,1.71,-1.84,-0.37,10.32,-3.38,-1.72,0.74,2.96
FOUSA00G2F                    ,AMIDEX35 Israel Fund Class C,AMIDEX35 Israel Fund,2,AMIDEX              ,Miscellaneous Region,Other Equity,Equity,FO_USA,-0.94,1.52,-2.13,-0.81,9.39,-4.15,-2.46,-0.03,2.18
FOUSA00K5J                    ,AMIDEX35 Israel Mutual Fund,AMIDEX35 Israel Fund,3,AMIDEX              ,Miscellaneous Region,Other Equity,Equity,FO_USA,-0.85,1.68,-1.97,-0.36,10.27,-3.37,-1.71,0.75,2.97
F000000M8C                    ,AMOne Core 30 Index,AMOne Core 30 Index,1,Asset Management One,Japan Large-Cap Blend Equity,Japan Equity,Equity,ASIA-PACIFIC,5.85,10.24,9.29,13.26,23.68,3.55,7.05,7.72,17.48
F00000OXTA                    ,AMOne Cruise Control,AMOne Cruise Control,1,Asset Management One,Risk Control Allocation,Flexible Allocation,Allocation,ASIA-PACIFIC,0.98,1.52,1.58,3.67,6.72,0.79,1.44,2.36,4.85
F000000LZA                    ,AMOne DIAM Balance Fund DC 1 Stable,AMOne DIAM Balance Fund DC 1 Stable,1,Asset Management One,Conservative Allocation,Cautious Allocation,Allocation,ASIA-PACIFIC,1.13,2.04,2.46,3.68,6.41,3.07,4.06,4.49,6.89
F000000LZ7                    ,AMOne DIAM Balance Fund DC 2 Stable/Growth,AMOne DIAM Balance Fund DC 2 Stable/Growth,1,Asset Management One,Moderately Conservative Allocation,Cautious Allocation,Allocation,ASIA-PACIFIC,1.92,3.77,4.1,6.55,12.65,4.26,5.78,6.51,10.55
F000000LZ6                    ,AMOne DIAM Balance Fund DC 3 Growth,AMOne DIAM Balance Fund DC 3 Growth,1,Asset Management One,Moderate Allocation,Moderate Allocation,Allocation,ASIA-PACIFIC,2.61,5.37,5.61,9.23,18.61,5.18,7.26,8.34,13.95
F00000OQR6                    ,AMOne DIAM DC 8 Asset Balance Fund (Emerging 10),AMOne DIAM DC 8 Asset Balance Fund (Emerging 10),1,Asset Management One,Moderately Conservative Allocation,Cautious Allocation,Allocation,ASIA-PACIFIC,0.93,1.8,2.24,3.52,7.53,3.38,4.12,4.96,7.39
F00000OQR7                    ,AMOne DIAM DC 8 Asset Balance Fund (Emerging 20),AMOne DIAM DC 8 Asset Balance Fund (Emerging 20),1,Asset Management One,Moderate Allocation,Moderate Allocation,Allocation,ASIA-PACIFIC,1.49,3.07,3.53,5.99,13.65,4.63,5.62,7.09,11.05
F00000OQR8                    ,AMOne DIAM DC 8 Asset Balance Fund (Emerging 30),AMOne DIAM DC 8 Asset Balance Fund (Emerging 30),1,Asset Management One,Aggressive Allocation,Aggressive Allocation,Allocation,ASIA-PACIFIC,2.05,4.37,4.82,8.52,20.11,5.73,7,9.14,14.62
F000000LZH                    ,AMOne DIAM DC Balance30 Index Fund,AMOne DIAM DC Balance30 Index Fund,1,Asset Management One,Conservative Allocation,Cautious Allocation,Allocation,ASIA-PACIFIC,1.32,2.63,3.07,4.9,9.34,3.36,4.6,5.33,8.55
F000000LZD                    ,AMOne DIAM DC Balance50 Index Fund,AMOne DIAM DC Balance50 Index Fund,1,Asset Management One,Moderately Conservative Allocation,Cautious Allocation,Allocation,ASIA-PACIFIC,2.27,4.6,4.91,8.07,15.93,4.68,6.52,7.49,12.49
F000000LZ9                    ,AMOne DIAM DC Balance70 Index Fund,AMOne DIAM DC Balance70 Index Fund,1,Asset Management One,Moderately Aggressive Allocation,Aggressive Allocation,Allocation,ASIA-PACIFIC,3.18,6.55,6.77,11.32,22.79,5.78,8.3,9.57,16.29
F000000MS5                    ,AMOne DIAM DC Domestic Equity Index Fund,AMOne DIAM DC Domestic Equity Index Fund,1,Asset Management One,Japan Large-Cap Blend Equity,Japan Equity,Equity,ASIA-PACIFIC,5.44,10,9.94,16.33,29.23,8.56,11.89,12.33,21.12
F000000LZP                    ,AMOne DIAM Domestic Bond Index Fund DC,AMOne DIAM Domestic Bond Index Fund DC,1,Asset Management One,Japan Bond Long/Intermediate,Japan Fixed Income,Fixed Income,ASIA-PACIFIC,-0.02,-0.4,0.11,-0.43,-1.63,1.42,1.56,1.63,1.72
F000002JWO                    ,AMOne DIAM Domestic Bond Passive Fund,AMOne DIAM Domestic Bond Passive Fund,1,Asset Management One,Japan Bond Long/Intermediate,Japan Fixed Income,Fixed Income,ASIA-PACIFIC,-0.04,-0.45,0.04,-0.56,-1.9,1.14,1.29,1.36,1.44
F000000M05                    ,AMOne DIAM Domestic Equity Index Fund DC,AMOne DIAM Domestic Equity Index Fund DC,1,Asset Management One,Japan Large-Cap Blend Equity,Japan Equity,Equity,ASIA-PACIFIC,5.44,9.99,9.92,16.29,29.16,8.49,11.82,12.27,21.05
F00000MF5D                    ,AMOne DIAM Emerging Equity Index Fund DC,AMOne DIAM Emerging Equity Index Fund DC,1,Asset Management One,Emerging Multiple Country/Area Equity,Emerging Markets Equity,Equity,ASIA-PACIFIC,4.27,5.18,7.82,17.08,35.55,12.65,6.24,7.03,11.53
F000000LZI                    ,AMOne DIAM Foreign Bond Index Fund DC,AMOne DIAM Foreign Bond Index Fund DC,1,Asset Management One,World ex-Japan Bond,Global Fixed Income,Fixed Income,ASIA-PACIFIC,-0.02,1.08,2.49,5.87,10.81,-1.15,1.17,3.98,8.33
F000002JWR                    ,AMOne DIAM Foreign Bond Passive Fund,AMOne DIAM Foreign Bond Passive Fund,1,Asset Management One,World ex-Japan Bond,Global Fixed Income,Fixed Income,ASIA-PACIFIC,-0.04,1.03,2.43,5.73,10.5,-1.41,0.9,3.69,8.04
F000000MSM                    ,AMOne DIAM Foreign Equity Index Fund DC,AMOne DIAM Foreign Equity Index Fund DC,1,Asset Management One,World ex-Japan Equity,Global Equity,Equity,ASIA-PACIFIC,2.29,7.03,6.6,10.69,32.71,7.76,9.62,12.08,19.62
F000002JWQ                    ,AMOne DIAM Foreign Equity Passive Fund,AMOne DIAM Foreign Equity Passive Fund,1,Asset Management One,World ex-Japan Equity,Global Equity,Equity,ASIA-PACIFIC,2.26,6.96,6.49,10.48,32.2,7.35,9.21,11.66,19.18
F000002JWP                    ,AMOne DIAM Japan Equity Passive Fund,AMOne DIAM Japan Equity Passive Fund,1,Asset Management One,Japan Large-Cap Blend Equity,Japan Equity,Equity,ASIA-PACIFIC,5.4,9.93,9.82,16.06,28.63,8.03,11.35,11.8,20.55
F000000LZO                    ,AMOne DIAM Passive Asset Diversified Fund,AMOne DIAM Passive Asset Diversified Fund,1,Asset Management One,Moderately Aggressive Allocation,Aggressive Allocation,Allocation,ASIA-PACIFIC,1.8,3.96,4.05,6.88,15.58,1.24,4.49,7.14,12.43
F000000MSE                    ,AMOne DIAM World REIT Index Fund Dividend 1 Month,AMOne DIAM World REIT Index Fund Dividend 1 Month,1,Asset Management One,World REIT,Real Estate Sector Equity,Equity,ASIA-PACIFIC,-0.51,1.46,0.71,1.73,13.8,0.2,5.04,9.54,14.59
F000000N94                    ,AMOne Domestic REIT Index Fund DC,AMOne Domestic REIT Index Fund DC,1,Asset Management One,Japan REIT,Real Estate Sector Equity,Equity,ASIA-PACIFIC,-1.3,-2.79,-3.74,-4.25,-5.57,0.04,1.08,5.43,12.32
F000000N92                    ,AMOne Global Warming Prevention Related Equity Fund,AMOne Global Warming Prevention Related Equity Fund,1,Asset Management One,World Equity,Global Equity,Equity,ASIA-PACIFIC,1.31,6.69,6.05,13.02,35.12,10.24,9.25,9.98,20.52
F000000N9K                    ,AMOne Global Warming Prevention Related Equity Fund Dividend 3 Month,AMOne Global Warming Prevention Related Equity Fund Dividend 3 Month,1,Asset Management One,World Equity,Global Equity,Equity,ASIA-PACIFIC,1.32,6.69,6.04,13,35.07,10.22,9.22,9.94,20.47
F000000N9J                    ,AMOne Index Management Fund 225,AMOne Index Management Fund 225,1,Asset Management One,Japan Large-Cap Growth Equity,Japan Equity,Equity,ASIA-PACIFIC,8.09,12.64,11.07,15.33,27.9,8.81,11.66,12.69,21.21
F000000NA6                    ,AMOne Index Management Fund 225 DC,AMOne Index Management Fund 225 DC,1,Asset Management One,Japan Large-Cap Growth Equity,Japan Equity,Equity,ASIA-PACIFIC,8.08,12.62,11.07,15.32,27.88,8.81,11.66,12.69,21.2
F000000M7I                    ,AMOne Index Million,AMOne Index Million,1,Asset Management One,Japan Large-Cap Blend Equity,Japan Equity,Equity,ASIA-PACIFIC,7.9,12.33,10.71,14.59,26.33,7.57,10.36,11.39,19.76
F000000M8F                    ,AMOne Index Portfolio,AMOne Index Portfolio,1,Asset Management One,Japan Large-Cap Growth Equity,Japan Equity,Equity,ASIA-PACIFIC,7.98,12.43,10.77,14.69,26.52,7.65,10.46,10.8,19.22
F00000OXT9                    ,AMOne Investment Sommelier,AMOne Investment Sommelier,1,Asset Management One,Risk Control Allocation,Flexible Allocation,Allocation,ASIA-PACIFIC,1.56,1.89,2.32,2.45,3.61,2.71,2.06,3.08,3.15
F000000NA1                    ,AMOne J-REIT Package,AMOne J-REIT Package,1,Asset Management One,Japan REIT,Real Estate Sector Equity,Equity,ASIA-PACIFIC,-1.3,-2.83,-3.85,-4.5,-5.85,-0.14,0.97,5.25,11.98
F00000GUWN                    ,AMOne Japan Bond Fund,AMOne Japan Bond Fund,1,Asset Management One,Japan Bond Long/Intermediate,Japan Fixed Income,Fixed Income,ASIA-PACIFIC,-0.03,-0.42,0.08,-0.48,-1.69,1.1,1.25,1.34,1.42
F000000M7J                    ,AMOne MHAM Equity Index Fund 225,AMOne MHAM Equity Index Fund 225,1,Asset Management One,Japan Large-Cap Blend Equity,Japan Equity,Equity,ASIA-PACIFIC,8.11,12.69,11.13,15.36,27.85,8.72,11.57,12.64,21.17
F00000LJ9T                    ,AMOne MHAM Foreign Bond Index Fund,AMOne MHAM Foreign Bond Index Fund,1,Asset Management One,World ex-Japan Bond,Global Fixed Income,Fixed Income,ASIA-PACIFIC,-0.07,0.98,2.39,5.56,10.18,-1.75,0.46,3.21,7.46
F0000022M7                    ,AMOne MHAM Foreign Bond Index Fund Wrap,AMOne MHAM Foreign Bond Index Fund Wrap,1,Asset Management One,World ex-Japan Bond,Global Fixed Income,Fixed Income,ASIA-PACIFIC,-0.03,1.05,2.49,5.78,10.64,-1.34,0.87,3.65,7.91
F00000LJ9U                    ,AMOne MHAM Foreign Equity Index Fund,AMOne MHAM Foreign Equity Index Fund,1,Asset Management One,World ex-Japan Equity,Global Equity,Equity,ASIA-PACIFIC,2.22,6.9,6.41,10.3,31.91,7.04,8.83,11.26,18.7
F0000022M8                    ,AMOne MHAM Foreign Equity Index Fund Fund Wrap,AMOne MHAM Foreign Equity Index Fund Fund Wrap,1,Asset Management One,World ex-Japan Equity,Global Equity,Equity,ASIA-PACIFIC,2.26,6.98,6.53,10.54,32.47,7.5,9.29,11.73,19.21
F000000N7R                    ,AMOne MHAM J-REIT Index Fund DC,AMOne MHAM J-REIT Index Fund DC,1,Asset Management One,Japan REIT,Real Estate Sector Equity,Equity,ASIA-PACIFIC,-1.3,-2.83,-3.8,-4.38,-5.63,0.07,1.13,5.53,12.37
F000000M75                    ,AMOne MHAM J-REIT Index Fund Dividend 1 Month,AMOne MHAM J-REIT Index Fund Dividend 1 Month,1,Asset Management One,Japan REIT,Real Estate Sector Equity,Equity,ASIA-PACIFIC,-1.3,-2.83,-3.82,-4.4,-5.68,0.04,1.07,5.45,12.29
F00000LJ9S                    ,AMOne MHAM Japan Bond Index Fund,AMOne MHAM Japan Bond Index Fund,1,Asset Management One,Japan Bond Long/Intermediate,Japan Fixed Income,Fixed Income,ASIA-PACIFIC,-0.04,-0.44,0.06,-0.54,-1.84,1.19,1.32,1.39,1.47
F000001ZQS                    ,AMOne MHAM Japan Bond Index Fund Fund Wrap,AMOne MHAM Japan Bond Index Fund Fund Wrap,1,Asset Management One,Japan Bond Long/Intermediate,Japan Fixed Income,Fixed Income,ASIA-PACIFIC,-0.01,-0.4,0.13,-0.41,-1.59,1.45,1.58,1.65,1.73
F000001ZOM                    ,AMOne MHAM Japan Equity Index Fund Fund Wrap,AMOne MHAM Japan Equity Index Fund Fund Wrap,1,Asset Management One,Japan Large-Cap Blend Equity,Japan Equity,Equity,ASIA-PACIFIC,5.41,9.97,9.88,16.22,29.06,8.36,11.74,12.19,20.94
F000000N8M                    ,AMOne MHAM TOPIX Fund,AMOne MHAM TOPIX Fund,1,Asset Management One,Japan Large-Cap Blend Equity,Japan Equity,Equity,ASIA-PACIFIC,5.38,9.94,9.82,15.96,28.43,8.01,11.42,11.84,20.5
F000000M7F                    ,AMOne MHAM TOPIX Open,AMOne MHAM TOPIX Open,1,Asset Management One,Japan Large-Cap Blend Equity,Japan Equity,Equity,ASIA-PACIFIC,5.37,9.89,9.76,15.97,28.51,7.9,11.26,11.72,20.43
F000000MSA                    ,AMOne Monex Asset Plan Fund Dividend 2 Month,AMOne Monex Asset Plan Fund Dividend 2 Month,1,Asset Management One,Moderate Allocation,Moderate Allocation,Allocation,ASIA-PACIFIC,1.88,4.2,4.2,6.77,15.26,4.01,5.97,7.49,11.92
F00000IRRZ                    ,AMOne Monex Asset Plan Fund Evolution,AMOne Monex Asset Plan Fund Evolution,1,Asset Management One,Aggressive Allocation,Aggressive Allocation,Allocation,ASIA-PACIFIC,2.64,5.35,6.23,11.44,28.56,7.49,7.09,9.21,14.93
F000000MRT                    ,AMOne Monex Asset Plan Fund Growth,AMOne Monex Asset Plan Fund Growth,1,Asset Management One,Moderate Allocation,Moderate Allocation,Allocation,ASIA-PACIFIC,1.87,4.19,4.19,6.74,15.25,4,5.94,7.47,11.91
F000000N91                    ,AMOne New TOPIX Index,AMOne New TOPIX Index,1,Asset Management One,Japan Large-Cap Blend Equity,Japan Equity,Equity,ASIA-PACIFIC,5.38,9.88,9.76,15.92,28.46,7.95,11.29,11.72,20.43
F000000MS1                    ,AMOne Nikkei 225 No Load Open,AMOne Nikkei 225 No Load Open,1,Asset Management One,Japan Large-Cap Blend Equity,Japan Equity,Equity,ASIA-PACIFIC,8.06,12.58,11.03,15.19,27.58,8.46,11.29,12.25,20.75
F000000N96                    ,AMOne Shinko J-REIT Open,AMOne Shinko J-REIT Open,1,Asset Management One,Japan REIT,Real Estate Sector Equity,Equity,ASIA-PACIFIC,-1.29,-2.83,-3.82,-4.41,-5.67,0.04,1.08,5.39,12.13
F000000N9V                    ,AMOne Shinko Japan Bond Index Fund DC,AMOne Shinko Japan Bond Index Fund DC,1,Asset Management One,Japan Bond Long/Intermediate,Japan Fixed Income,Fixed Income,ASIA-PACIFIC,-0.03,-0.43,0.08,-0.49,-1.74,1.29,1.44,1.51,1.59
F000000M7Y                    ,AMOne Taiyo Million Index Portfolio,AMOne Taiyo Million Index Portfolio,1,Asset Management One,Japan Large-Cap Growth Equity,Japan Equity,Equity,ASIA-PACIFIC,7.99,12.43,10.78,14.69,26.51,7.65,10.46,10.79,19.28
F0AUS05EVC                    ,AMP - Generations - BlackRock Australian Equity Index,AMP - Generations - BlackRock Australian Equity Index,1,AMP Group           ,Equity Australia Large Blend,Australia Equity,Equity,AUS-NZL,3.83,3.76,4.42,1.55,14.16,9.49,5.63,5.41,8.7
F0AUS05EVD                    ,AMP - Generations - BlackRock Australian Fixed Interest Index,AMP - Generations - BlackRock Australian Fixed Interest Index,1,AMP Group           ,Bonds - Australia,Australia Fixed Income,Fixed Income,AUS-NZL,0.97,0.57,0.47,0.69,0.48,1.64,2.74,3.51,2.92
F0AUS05HT3                    ,AMP - Generations - BlackRock International Equity Index (Hedged),AMP - Generations - BlackRock International Equity Index (Hedged),1,AMP Group           ,Equity World - Currency Hedged,Global Equity,Equity,AUS-NZL,2.57,4.99,5.1,8.33,21.57,11.25,9.9,10.79,14.16
F0AUS05EVE                    ,AMP - Generations - BlackRock International Equity Index (Unhedged),AMP - Generations - BlackRock International Equity Index (Unhedged),1,AMP Group           ,Equity World Large Blend,Global Equity Large Cap,Equity,AUS-NZL,4.04,7.48,8.18,6.29,20.02,6.08,12.04,12.94,17.16
F0AUS05EVF                    ,AMP - Generations - BlackRock International Fixed Interest Index,AMP - Generations - BlackRock International Fixed Interest Index,1,AMP Group           ,Bonds - Global,Global Fixed Income,Fixed Income,AUS-NZL,0.34,-0.19,0.64,0.98,0.49,2.84,3.16,4.06,3.8
F0AUS05EVH                    ,AMP - Generations - BlackRock Property Securities Index,AMP - Generations - BlackRock Property Securities Index,1,AMP Group           ,Equity Australia Real Estate,Real Estate Sector Equity,Equity,AUS-NZL,2.06,2.53,3.91,-2.16,6.85,5.82,9.23,10.58,10.91
F000005G6A                    ,AMP Flexible Lifetime &CustomSuper-Australian Fixed International Index,AMP Ausbil Australian Fixed Interest Index,1,AMP Group           ,Bonds - Australia,Australia Fixed Income,Fixed Income,AUS-NZL,0.86,0.44,0.31,0.41,-0.2,0.83,1.81,2.51,1.98
F000005G3T                    ,AMP Flexible Lifetime Allocated Pension-Australian Fixed Interest Index,AMP Ausbil Australian Fixed Interest Index,2,AMP Group           ,Bonds - Australia,Australia Fixed Income,Fixed Income,AUS-NZL,0.92,0.46,0.31,0.39,-0.27,0.96,2.02,2.8,2.25
F000005G3I                    ,AMP SignatureSuper Alloc Pen-Australian Fixed Interest Index,AMP Ausbil Australian Fixed Interest Index,3,AMP Group           ,Bonds - Australia,Australia Fixed Income,Fixed Income,AUS-NZL,0.99,0.58,0.5,0.78,0.7,1.79,2.83,3.61,3.07
F000005G5P                    ,AMP SignatureSuper-Ausbil Australian Fixed Interest Index,AMP Ausbil Australian Fixed Interest Index,4,AMP Group           ,Bonds - Australia,Australia Fixed Income,Fixed Income,AUS-NZL,0.91,0.55,0.48,0.64,0.45,1.49,2.46,3.18,2.65
F00000H4AT                    ,AMP Flexible Lifetime Investment Series 2-AMP Australian Share Enhanced Index,AMP Australian Share Enhanced Index AMPCI,1,AMP Group           ,Equity Australia Large Blend,Australia Equity,Equity,AUS-NZL,3.9,3.79,4.56,1.34,14.12,9.24,5.49,5.43,8.91
